checkpoint,architecture,task,dataset,pretrained,license,params,metric,reference,score
dgcnn.modelnet40-1024.an-tao,dgcnn,classification,modelnet40,true,MIT,1.81,OA,93.3,93.27
dgcnn.modelnet40-2048.an-tao,dgcnn,classification,modelnet40,true,MIT,1.81,OA,93.6,93.60
kpfcnn.modelnet40,kpconv,classification,modelnet40,false,,1.28,OA,,
octformer-base.modelnet40.octree-nn,octformer,classification,modelnet40,true,MIT,3.98,OA,92.7,92.02
point-bert-base.modelnet40-4k.xumin-yu,point_bert,classification,modelnet40,true,MIT,22.07,OA,92.91,93.03
point-bert-base.modelnet40-8k.xumin-yu,point_bert,classification,modelnet40,true,MIT,22.07,OA,93.19,93.07
point-bert-base.modelnet40.xumin-yu,point_bert,classification,modelnet40,true,MIT,22.07,OA,92.67,92.63
point-bert-base.scanobjectnn-hardest.xumin-yu,point_bert,classification,scanobjectnn-hardest,true,MIT,22.07,OA,83.07,83.07
point-bert-base.scanobjectnn-objbg.xumin-yu,point_bert,classification,scanobjectnn-objbg,true,MIT,22.07,OA,87.43,87.44
point-bert-base.scanobjectnn-objonly.xumin-yu,point_bert,classification,scanobjectnn-objonly,true,MIT,22.07,OA,88.12,88.12
point-m2ae-base.modelnet40.renrui-zhang,point_m2ae,classification,modelnet40,true,MIT,12.83,OA,93.43,92.87
point-m2ae-base.scanobjectnn-hardest.renrui-zhang,point_m2ae,classification,scanobjectnn-hardest,true,MIT,12.92,OA,86.43,86.54
point-m2ae-base.scanobjectnn-objbg.renrui-zhang,point_m2ae,classification,scanobjectnn-objbg,true,MIT,12.92,OA,91.22,91.22
point-mae-base.modelnet40-8k.yatian-pang,point_mae,classification,modelnet40,true,MIT,22.10,OA,94.04,93.35
point-mae-base.modelnet40.yatian-pang,point_mae,classification,modelnet40,true,MIT,22.10,OA,93.19,92.87
point-mae-base.scanobjectnn-hardest.yatian-pang,point_mae,classification,scanobjectnn-hardest,true,MIT,22.09,OA,85.18,85.05
point-mae-base.scanobjectnn-objbg.yatian-pang,point_mae,classification,scanobjectnn-objbg,true,MIT,22.09,OA,90.02,90.19
point-mae-base.scanobjectnn-objonly.yatian-pang,point_mae,classification,scanobjectnn-objonly,true,MIT,22.09,OA,88.29,88.30
point-mamba-base.modelnet40.dingkang-liang,point_mamba,classification,modelnet40,true,Apache-2.0,12.30,OA,93.6,93.64
point-mamba-base.scanobjectnn-augmentedrot-scale75.dingkang-liang,point_mamba,classification,scanobjectnn-augmentedrot-scale75,true,Apache-2.0,12.29,OA,89.31,89.28
point-mamba-base.scanobjectnn-nobg.dingkang-liang,point_mamba,classification,scanobjectnn-nobg,true,Apache-2.0,12.29,OA,92.60,83.82
point-mamba-base.scanobjectnn.dingkang-liang,point_mamba,classification,scanobjectnn,true,Apache-2.0,12.29,OA,94.32,94.15
point-transformer.modelnet40,point_transformer,classification,modelnet40,false,,4.92,OA,,
pointcnn-base,pointcnn,classification,,false,,,OA,,
pointconv-density-base,pointconv,classification,,false,,,OA,,
pointconv-density-base.modelnet40.wenxuan-wu,pointconv,classification,modelnet40,true,MIT,19.57,OA,92.5,92.02
pointgpt-b.modelnet40-8k.guangyan-chen,pointgpt,classification,modelnet40,true,MIT,120.39,OA,,94.25
pointgpt-b.modelnet40.guangyan-chen,pointgpt,classification,modelnet40,true,MIT,120.39,OA,94.4,94.37
pointgpt-b.scanobjectnn-hardest.guangyan-chen,pointgpt,classification,scanobjectnn-hardest,true,MIT,120.39,OA,91.9,91.92
pointgpt-b.scanobjectnn-objbg.guangyan-chen,pointgpt,classification,scanobjectnn-objbg,true,MIT,120.39,OA,95.8,97.07
pointgpt-b.scanobjectnn-objonly.guangyan-chen,pointgpt,classification,scanobjectnn-objonly,true,MIT,120.39,OA,95.2,95.18
pointgpt-l.modelnet40-8k.guangyan-chen,pointgpt,classification,modelnet40,true,MIT,360.37,OA,,93.92
pointgpt-l.modelnet40.guangyan-chen,pointgpt,classification,modelnet40,true,MIT,360.37,OA,94.7,93.88
pointgpt-l.scanobjectnn-hardest.guangyan-chen,pointgpt,classification,scanobjectnn-hardest,true,MIT,360.36,OA,93.4,93.75
pointgpt-l.scanobjectnn-objbg.guangyan-chen,pointgpt,classification,scanobjectnn-objbg,true,MIT,360.36,OA,97.2,98.45
pointgpt-l.scanobjectnn-objonly.guangyan-chen,pointgpt,classification,scanobjectnn-objonly,true,MIT,360.36,OA,96.6,96.90
pointgpt-s.modelnet40-8k.guangyan-chen,pointgpt,classification,modelnet40,true,MIT,29.20,OA,94.2,93.76
pointgpt-s.modelnet40.guangyan-chen,pointgpt,classification,modelnet40,true,MIT,29.20,OA,94.0,93.31
pointgpt-s.scanobjectnn-hardest.guangyan-chen,pointgpt,classification,scanobjectnn-hardest,true,MIT,29.20,OA,86.9,86.95
pointgpt-s.scanobjectnn-objbg.guangyan-chen,pointgpt,classification,scanobjectnn-objbg,true,MIT,29.20,OA,91.6,91.57
pointgpt-s.scanobjectnn-objonly.guangyan-chen,pointgpt,classification,scanobjectnn-objonly,true,MIT,29.20,OA,90.0,90.71
pointmlp-base,pointmlp,classification,,false,,,OA,,
pointmlp-base.modelnet40.xu-ma,pointmlp,classification,modelnet40,true,Apache-2.0,13.24,OA,94.1,93.88
pointmlp-base.scanobjectnn.xu-ma,pointmlp,classification,scanobjectnn,true,Apache-2.0,13.23,OA,86.1,77.48
pointmlp-elite,pointmlp,classification,,false,,,OA,,
pointmlp-elite.modelnet40.xu-ma,pointmlp,classification,modelnet40,true,Apache-2.0,0.72,OA,93.6,92.79
pointmlp-elite.scanobjectnn.xu-ma,pointmlp,classification,scanobjectnn,true,Apache-2.0,0.71,OA,84.1,76.72
pointnet.modelnet40,pointnet,classification,modelnet40,false,,3.47,OA,,
pointnet2-msg.modelnet40.xu-yan,pointnet2,classification,modelnet40,true,MIT,1.75,OA,92.8,92.67
pointnet2-ssg.modelnet40.xu-yan,pointnet2,classification,modelnet40,true,MIT,1.48,OA,92.0,92.30
pointnet2.modelnet40.openpoints,pointnet2,classification,modelnet40,true,MIT,1.48,OA,93.0,91.90
pointnet2.scanobjectnn.openpoints,pointnet2,classification,scanobjectnn,true,MIT,1.47,OA,86.2,86.16
pointnext-base,pointnext,classification,,false,,,OA,,
pointnext-lg,pointnext,classification,,false,,,OA,,
pointnext-sm,pointnext,classification,,false,,,OA,,
pointnext-sm-c64.modelnet40.openpoints,pointnext,classification,modelnet40,true,MIT,4.53,OA,94.0,93.80
pointnext-sm.scanobjectnn.openpoints,pointnext,classification,scanobjectnn,true,MIT,1.37,OA,88.20,87.51
pointnext-xl,pointnext,classification,,false,,,OA,,
concerto-large-lp.scannet20.pointcept,concerto,segmentation,scannet20,true,CC-BY-NC-4.0,207.70,mIoU,77.5,78.59
dgcnn.s3dis-area1.an-tao,dgcnn,segmentation,s3dis-area1,true,MIT,0.99,mIoU,,69.19
dgcnn.s3dis-area2.an-tao,dgcnn,segmentation,s3dis-area2,true,MIT,0.99,mIoU,,43.50
dgcnn.s3dis-area3.an-tao,dgcnn,segmentation,s3dis-area3,true,MIT,0.99,mIoU,,68.73
dgcnn.s3dis-area4.an-tao,dgcnn,segmentation,s3dis-area4,true,MIT,0.99,mIoU,,50.68
dgcnn.s3dis-area5.an-tao,dgcnn,segmentation,s3dis-area5,true,MIT,0.99,mIoU,,50.30
dgcnn.s3dis-area6.an-tao,dgcnn,segmentation,s3dis-area6,true,MIT,0.99,mIoU,,75.60
dgcnn.scannet20.an-tao,dgcnn,segmentation,scannet20,true,MIT,0.99,mIoU,49.6,53.06
dgcnn.shapenetpart.an-tao,dgcnn,segmentation,shapenetpart,true,MIT,1.46,mIoU,85.2,85.23
kpfcnn-base-deform.s3dis.hugues-thomas,kpconv,segmentation,s3dis,true,MIT,25.85,mIoU,67.3,67.02
kpfcnn-base-sm-deform.s3dis.hugues-thomas,kpconv,segmentation,s3dis,true,MIT,25.59,mIoU,66.7,66.12
kpfcnn-base-sm.s3dis.hugues-thomas,kpconv,segmentation,s3dis,true,MIT,23.90,mIoU,65.4,65.39
kpfcnn-base.s3dis.hugues-thomas,kpconv,segmentation,s3dis,true,MIT,24.38,mIoU,66.4,66.44
octformer-base.scannet20.octree-nn,octformer,segmentation,scannet20,true,MIT,44.03,mIoU,74.8,74.78
octformer-base.scannet200.octree-nn,octformer,segmentation,scannet200,true,MIT,44.06,mIoU,31.7,31.71
octformer-lg,octformer,segmentation,,false,,,mIoU,,
octformer-sm,octformer,segmentation,,false,,,mIoU,,
point-m2ae-base.shapenetpart.renrui-zhang,point_m2ae,segmentation,shapenetpart,true,MIT,25.47,mIoU,86.51,86.17
point-mae-base.shapenetpart.yatian-pang,point_mae,segmentation,shapenetpart,true,MIT,27.06,mIoU,86.1,86.09
point-transformer.s3dis-area5,point_transformer,segmentation,s3dis-area5,false,,5.61,mIoU,,
point-transformer.scannet20,point_transformer,segmentation,scannet20,false,,5.61,mIoU,,
pointcnn-base,pointcnn,segmentation,,false,,,mIoU,,
pointmlp-base,pointmlp,segmentation,,false,,,mIoU,,
pointmlp-elite,pointmlp,segmentation,,false,,,mIoU,,
pointnet.s3dis-area5,pointnet,segmentation,s3dis-area5,false,,3.53,mIoU,,
pointnet.shapenetpart,pointnet,segmentation,shapenetpart,false,,3.53,mIoU,,
pointnet2.s3dis-area1.openpoints,pointnet2,segmentation,s3dis-area1,true,MIT,0.97,mIoU,,74.96
pointnet2.s3dis-area2.openpoints,pointnet2,segmentation,s3dis-area2,true,MIT,0.97,mIoU,,48.22
pointnet2.s3dis-area3.openpoints,pointnet2,segmentation,s3dis-area3,true,MIT,0.97,mIoU,,76.31
pointnet2.s3dis-area4.openpoints,pointnet2,segmentation,s3dis-area4,true,MIT,0.97,mIoU,,59.96
pointnet2.s3dis-area5.openpoints,pointnet2,segmentation,s3dis-area5,true,MIT,0.97,mIoU,63.6,63.66
pointnet2.s3dis-area5.xu-yan,pointnet2,segmentation,s3dis-area5,true,MIT,0.97,mIoU,53.5,54.28
pointnet2.s3dis-area6.openpoints,pointnet2,segmentation,s3dis-area6,true,MIT,0.97,mIoU,,82.45
pointnext-base,pointnext,segmentation,,false,,,mIoU,,
pointnext-base.s3dis-area1.openpoints,pointnext,segmentation,s3dis-area1,true,MIT,3.84,mIoU,,77.78
pointnext-base.s3dis-area2.openpoints,pointnext,segmentation,s3dis-area2,true,MIT,3.84,mIoU,,58.61
pointnext-base.s3dis-area3.openpoints,pointnext,segmentation,s3dis-area3,true,MIT,3.84,mIoU,,84.02
pointnext-base.s3dis-area4.openpoints,pointnext,segmentation,s3dis-area4,true,MIT,3.84,mIoU,,62.61
pointnext-base.s3dis-area5.openpoints,pointnext,segmentation,s3dis-area5,true,MIT,3.84,mIoU,67.5,67.55
pointnext-base.s3dis-area6.openpoints,pointnext,segmentation,s3dis-area6,true,MIT,3.84,mIoU,,84.64
pointnext-lg,pointnext,segmentation,,false,,,mIoU,,
pointnext-lg.s3dis-area1.openpoints,pointnext,segmentation,s3dis-area1,true,MIT,7.14,mIoU,,78.96
pointnext-lg.s3dis-area2.openpoints,pointnext,segmentation,s3dis-area2,true,MIT,7.14,mIoU,,61.69
pointnext-lg.s3dis-area3.openpoints,pointnext,segmentation,s3dis-area3,true,MIT,7.14,mIoU,,84.06
pointnext-lg.s3dis-area4.openpoints,pointnext,segmentation,s3dis-area4,true,MIT,7.14,mIoU,,65.08
pointnext-lg.s3dis-area5.openpoints,pointnext,segmentation,s3dis-area5,true,MIT,7.14,mIoU,69.3,69.29
pointnext-lg.s3dis-area6.openpoints,pointnext,segmentation,s3dis-area6,true,MIT,7.14,mIoU,,85.94
pointnext-sm,pointnext,segmentation,,false,,,mIoU,,
pointnext-sm-c160.shapenetpart.openpoints,pointnext,segmentation,shapenetpart,true,MIT,22.52,mIoU,87.1,87.11
pointnext-sm-c64.shapenetpart.openpoints,pointnext,segmentation,shapenetpart,true,MIT,3.73,mIoU,86.9,86.93
pointnext-sm.s3dis-area1.openpoints,pointnext,segmentation,s3dis-area1,true,MIT,0.79,mIoU,,74.51
pointnext-sm.s3dis-area2.openpoints,pointnext,segmentation,s3dis-area2,true,MIT,0.79,mIoU,,47.58
